,WT(JR667),elt-1(ku491),egl-18(ga97),ceh-16(bp323)
elt-1,13.368421052631579,10.741721854304636,11.051428571428572,10.907894736842104
egl-18,7.088888888888889,12.496296296296297,5.925,13.558823529411764
ceh-16,7.25,8.682692307692308,7.195804195804196,11.083333333333334
