Cell,Worm,mRNA,Mean,Probe,Strain
H0,1.0,1.0,9.2,ceh-16,WT(JR667)
H0,2.0,6.0,9.2,ceh-16,WT(JR667)
H0,4.0,12.0,9.2,ceh-16,WT(JR667)
H0,5.0,0.0,9.2,ceh-16,WT(JR667)
H0,6.0,12.0,9.2,ceh-16,WT(JR667)
H0,7.0,14.0,9.2,ceh-16,WT(JR667)
H0,8.0,14.0,9.2,ceh-16,WT(JR667)
H0,9.0,22.0,9.2,ceh-16,WT(JR667)
H0,10.0,3.0,9.2,ceh-16,WT(JR667)
H0,11.0,4.0,9.2,ceh-16,WT(JR667)
H0,12.0,10.0,9.2,ceh-16,WT(JR667)
H0,13.0,5.0,9.2,ceh-16,WT(JR667)
H0,15.0,14.0,9.2,ceh-16,WT(JR667)
H0,16.0,0.0,9.2,ceh-16,WT(JR667)
H0,20.0,8.0,9.2,ceh-16,WT(JR667)
H0,21.0,3.0,9.2,ceh-16,WT(JR667)
H0,22.0,4.0,9.2,ceh-16,WT(JR667)
H0,23.0,14.0,9.2,ceh-16,WT(JR667)
H0,25.0,7.0,9.2,ceh-16,WT(JR667)
H0,26.0,1.0,9.2,ceh-16,WT(JR667)
H0,27.0,5.0,9.2,ceh-16,WT(JR667)
H0,28.0,7.0,9.2,ceh-16,WT(JR667)
H0,29.0,43.0,9.2,ceh-16,WT(JR667)
H0,30.0,10.0,9.2,ceh-16,WT(JR667)
H0,31.0,3.0,9.2,ceh-16,WT(JR667)
H0,32.0,24.0,9.2,ceh-16,WT(JR667)
H0,33.0,9.0,9.2,ceh-16,WT(JR667)
H0,34.0,6.0,9.2,ceh-16,WT(JR667)
H0,35.0,8.0,9.2,ceh-16,WT(JR667)
H0,36.0,7.0,9.2,ceh-16,WT(JR667)
H2,1.0,2.0,9.933333333333334,ceh-16,WT(JR667)
H2,2.0,3.0,9.933333333333334,ceh-16,WT(JR667)
H2,4.0,26.0,9.933333333333334,ceh-16,WT(JR667)
H2,5.0,4.0,9.933333333333334,ceh-16,WT(JR667)
H2,6.0,6.0,9.933333333333334,ceh-16,WT(JR667)
H2,7.0,9.0,9.933333333333334,ceh-16,WT(JR667)
H2,8.0,11.0,9.933333333333334,ceh-16,WT(JR667)
H2,9.0,23.0,9.933333333333334,ceh-16,WT(JR667)
H2,10.0,4.0,9.933333333333334,ceh-16,WT(JR667)
H2,11.0,6.0,9.933333333333334,ceh-16,WT(JR667)
H2,12.0,13.0,9.933333333333334,ceh-16,WT(JR667)
H2,13.0,12.0,9.933333333333334,ceh-16,WT(JR667)
H2,15.0,14.0,9.933333333333334,ceh-16,WT(JR667)
H2,16.0,4.0,9.933333333333334,ceh-16,WT(JR667)
H2,20.0,3.0,9.933333333333334,ceh-16,WT(JR667)
H2,21.0,3.0,9.933333333333334,ceh-16,WT(JR667)
H2,22.0,3.0,9.933333333333334,ceh-16,WT(JR667)
H2,23.0,1.0,9.933333333333334,ceh-16,WT(JR667)
H2,25.0,5.0,9.933333333333334,ceh-16,WT(JR667)
H2,26.0,9.0,9.933333333333334,ceh-16,WT(JR667)
H2,27.0,1.0,9.933333333333334,ceh-16,WT(JR667)
H2,28.0,3.0,9.933333333333334,ceh-16,WT(JR667)
H2,29.0,51.0,9.933333333333334,ceh-16,WT(JR667)
H2,30.0,15.0,9.933333333333334,ceh-16,WT(JR667)
H2,31.0,2.0,9.933333333333334,ceh-16,WT(JR667)
H2,32.0,18.0,9.933333333333334,ceh-16,WT(JR667)
H2,33.0,13.0,9.933333333333334,ceh-16,WT(JR667)
H2,34.0,3.0,9.933333333333334,ceh-16,WT(JR667)
H2,35.0,25.0,9.933333333333334,ceh-16,WT(JR667)
H2,36.0,6.0,9.933333333333334,ceh-16,WT(JR667)
V1,1.0,1.0,7.633333333333334,ceh-16,WT(JR667)
V1,2.0,7.0,7.633333333333334,ceh-16,WT(JR667)
V1,4.0,19.0,7.633333333333334,ceh-16,WT(JR667)
V1,5.0,4.0,7.633333333333334,ceh-16,WT(JR667)
V1,6.0,9.0,7.633333333333334,ceh-16,WT(JR667)
V1,7.0,14.0,7.633333333333334,ceh-16,WT(JR667)
V1,8.0,6.0,7.633333333333334,ceh-16,WT(JR667)
V1,9.0,15.0,7.633333333333334,ceh-16,WT(JR667)
V1,10.0,2.0,7.633333333333334,ceh-16,WT(JR667)
V1,11.0,4.0,7.633333333333334,ceh-16,WT(JR667)
V1,12.0,14.0,7.633333333333334,ceh-16,WT(JR667)
V1,13.0,13.0,7.633333333333334,ceh-16,WT(JR667)
V1,15.0,6.0,7.633333333333334,ceh-16,WT(JR667)
V1,16.0,6.0,7.633333333333334,ceh-16,WT(JR667)
V1,20.0,2.0,7.633333333333334,ceh-16,WT(JR667)
V1,21.0,2.0,7.633333333333334,ceh-16,WT(JR667)
V1,22.0,0.0,7.633333333333334,ceh-16,WT(JR667)
V1,23.0,2.0,7.633333333333334,ceh-16,WT(JR667)
V1,25.0,17.0,7.633333333333334,ceh-16,WT(JR667)
V1,26.0,6.0,7.633333333333334,ceh-16,WT(JR667)
V1,27.0,1.0,7.633333333333334,ceh-16,WT(JR667)
V1,28.0,6.0,7.633333333333334,ceh-16,WT(JR667)
V1,29.0,26.0,7.633333333333334,ceh-16,WT(JR667)
V1,30.0,12.0,7.633333333333334,ceh-16,WT(JR667)
V1,31.0,2.0,7.633333333333334,ceh-16,WT(JR667)
V1,32.0,11.0,7.633333333333334,ceh-16,WT(JR667)
V1,33.0,6.0,7.633333333333334,ceh-16,WT(JR667)
V1,34.0,3.0,7.633333333333334,ceh-16,WT(JR667)
V1,35.0,12.0,7.633333333333334,ceh-16,WT(JR667)
V1,36.0,1.0,7.633333333333334,ceh-16,WT(JR667)
V2,1.0,0.0,7.233333333333333,ceh-16,WT(JR667)
V2,2.0,5.0,7.233333333333333,ceh-16,WT(JR667)
V2,4.0,11.0,7.233333333333333,ceh-16,WT(JR667)
V2,5.0,7.0,7.233333333333333,ceh-16,WT(JR667)
V2,6.0,3.0,7.233333333333333,ceh-16,WT(JR667)
V2,7.0,11.0,7.233333333333333,ceh-16,WT(JR667)
V2,8.0,11.0,7.233333333333333,ceh-16,WT(JR667)
V2,9.0,25.0,7.233333333333333,ceh-16,WT(JR667)
V2,10.0,1.0,7.233333333333333,ceh-16,WT(JR667)
V2,11.0,4.0,7.233333333333333,ceh-16,WT(JR667)
V2,12.0,12.0,7.233333333333333,ceh-16,WT(JR667)
V2,13.0,5.0,7.233333333333333,ceh-16,WT(JR667)
V2,15.0,11.0,7.233333333333333,ceh-16,WT(JR667)
V2,16.0,0.0,7.233333333333333,ceh-16,WT(JR667)
V2,20.0,10.0,7.233333333333333,ceh-16,WT(JR667)
V2,21.0,0.0,7.233333333333333,ceh-16,WT(JR667)
V2,22.0,0.0,7.233333333333333,ceh-16,WT(JR667)
V2,23.0,1.0,7.233333333333333,ceh-16,WT(JR667)
V2,25.0,15.0,7.233333333333333,ceh-16,WT(JR667)
V2,26.0,3.0,7.233333333333333,ceh-16,WT(JR667)
V2,27.0,1.0,7.233333333333333,ceh-16,WT(JR667)
V2,28.0,1.0,7.233333333333333,ceh-16,WT(JR667)
V2,29.0,35.0,7.233333333333333,ceh-16,WT(JR667)
V2,30.0,3.0,7.233333333333333,ceh-16,WT(JR667)
V2,31.0,8.0,7.233333333333333,ceh-16,WT(JR667)
V2,32.0,5.0,7.233333333333333,ceh-16,WT(JR667)
V2,33.0,7.0,7.233333333333333,ceh-16,WT(JR667)
V2,34.0,10.0,7.233333333333333,ceh-16,WT(JR667)
V2,35.0,6.0,7.233333333333333,ceh-16,WT(JR667)
V2,36.0,6.0,7.233333333333333,ceh-16,WT(JR667)
V3,1.0,0.0,7.633333333333334,ceh-16,WT(JR667)
V3,2.0,2.0,7.633333333333334,ceh-16,WT(JR667)
V3,4.0,10.0,7.633333333333334,ceh-16,WT(JR667)
V3,5.0,3.0,7.633333333333334,ceh-16,WT(JR667)
V3,6.0,9.0,7.633333333333334,ceh-16,WT(JR667)
V3,7.0,12.0,7.633333333333334,ceh-16,WT(JR667)
V3,8.0,4.0,7.633333333333334,ceh-16,WT(JR667)
V3,9.0,20.0,7.633333333333334,ceh-16,WT(JR667)
V3,10.0,1.0,7.633333333333334,ceh-16,WT(JR667)
V3,11.0,1.0,7.633333333333334,ceh-16,WT(JR667)
V3,12.0,10.0,7.633333333333334,ceh-16,WT(JR667)
V3,13.0,5.0,7.633333333333334,ceh-16,WT(JR667)
V3,15.0,7.0,7.633333333333334,ceh-16,WT(JR667)
V3,16.0,1.0,7.633333333333334,ceh-16,WT(JR667)
V3,20.0,3.0,7.633333333333334,ceh-16,WT(JR667)
V3,21.0,0.0,7.633333333333334,ceh-16,WT(JR667)
V3,22.0,0.0,7.633333333333334,ceh-16,WT(JR667)
V3,23.0,7.0,7.633333333333334,ceh-16,WT(JR667)
V3,25.0,8.0,7.633333333333334,ceh-16,WT(JR667)
V3,26.0,3.0,7.633333333333334,ceh-16,WT(JR667)
V3,27.0,3.0,7.633333333333334,ceh-16,WT(JR667)
V3,28.0,9.0,7.633333333333334,ceh-16,WT(JR667)
V3,29.0,61.0,7.633333333333334,ceh-16,WT(JR667)
V3,30.0,6.0,7.633333333333334,ceh-16,WT(JR667)
V3,31.0,2.0,7.633333333333334,ceh-16,WT(JR667)
V3,32.0,4.0,7.633333333333334,ceh-16,WT(JR667)
V3,33.0,10.0,7.633333333333334,ceh-16,WT(JR667)
V3,34.0,4.0,7.633333333333334,ceh-16,WT(JR667)
V3,35.0,19.0,7.633333333333334,ceh-16,WT(JR667)
V3,36.0,5.0,7.633333333333334,ceh-16,WT(JR667)
V4,1.0,1.0,6.5,ceh-16,WT(JR667)
V4,2.0,1.0,6.5,ceh-16,WT(JR667)
V4,4.0,20.0,6.5,ceh-16,WT(JR667)
V4,5.0,0.0,6.5,ceh-16,WT(JR667)
V4,6.0,3.0,6.5,ceh-16,WT(JR667)
V4,7.0,4.0,6.5,ceh-16,WT(JR667)
V4,8.0,1.0,6.5,ceh-16,WT(JR667)
V4,9.0,24.0,6.5,ceh-16,WT(JR667)
V4,10.0,0.0,6.5,ceh-16,WT(JR667)
V4,11.0,6.0,6.5,ceh-16,WT(JR667)
V4,12.0,5.0,6.5,ceh-16,WT(JR667)
V4,13.0,15.0,6.5,ceh-16,WT(JR667)
V4,15.0,7.0,6.5,ceh-16,WT(JR667)
V4,16.0,3.0,6.5,ceh-16,WT(JR667)
V4,20.0,5.0,6.5,ceh-16,WT(JR667)
V4,21.0,0.0,6.5,ceh-16,WT(JR667)
V4,22.0,0.0,6.5,ceh-16,WT(JR667)
V4,23.0,1.0,6.5,ceh-16,WT(JR667)
V4,25.0,8.0,6.5,ceh-16,WT(JR667)
V4,26.0,1.0,6.5,ceh-16,WT(JR667)
V4,27.0,0.0,6.5,ceh-16,WT(JR667)
V4,28.0,10.0,6.5,ceh-16,WT(JR667)
V4,29.0,36.0,6.5,ceh-16,WT(JR667)
V4,30.0,10.0,6.5,ceh-16,WT(JR667)
V4,31.0,0.0,6.5,ceh-16,WT(JR667)
V4,32.0,9.0,6.5,ceh-16,WT(JR667)
V4,33.0,9.0,6.5,ceh-16,WT(JR667)
V4,34.0,6.0,6.5,ceh-16,WT(JR667)
V4,35.0,8.0,6.5,ceh-16,WT(JR667)
V4,36.0,2.0,6.5,ceh-16,WT(JR667)
V5a,1.0,0.0,3.88,ceh-16,WT(JR667)
V5a,2.0,4.0,3.88,ceh-16,WT(JR667)
V5a,4.0,7.0,3.88,ceh-16,WT(JR667)
V5a,5.0,1.0,3.88,ceh-16,WT(JR667)
