,WT(JR667),elt-1(ku491),egl-18(ga97),ceh-16(bp323)
elt-1,4.776294731451252,5.714122482531853,3.025841267577173,4.950974204938529
egl-18,3.822630076531059,9.13807960788824,4.714853029819523,5.644283763155781
ceh-16,9.869023471457549,10.292594197548697,9.313445297636157,5.282525685942605
