Cell,Worm,mRNA,Mean,Probe,Strain
V1,33,140,54.51282051,ceh-16,WT(JR667)
V1,39,125,54.51282051,ceh-16,WT(JR667)
V1,14,110,54.51282051,ceh-16,WT(JR667)
V1,24,94,54.51282051,ceh-16,WT(JR667)
V1,41,94,54.51282051,ceh-16,WT(JR667)
V1,40,89,54.51282051,ceh-16,WT(JR667)
V1,13,88,54.51282051,ceh-16,WT(JR667)
V1,36,87,54.51282051,ceh-16,WT(JR667)
V1,26,84,54.51282051,ceh-16,WT(JR667)
V1,55,83,54.51282051,ceh-16,WT(JR667)
V1,43,82,54.51282051,ceh-16,WT(JR667)
V1,58,82,54.51282051,ceh-16,WT(JR667)
V1,20,78,54.51282051,ceh-16,WT(JR667)
V1,38,62,54.51282051,ceh-16,WT(JR667)
V1,63,57,54.51282051,ceh-16,WT(JR667)
V1,37,56,54.51282051,ceh-16,WT(JR667)
V1,9,53,54.51282051,ceh-16,WT(JR667)
V1,25,53,54.51282051,ceh-16,WT(JR667)
V1,54,53,54.51282051,ceh-16,WT(JR667)
V1,45,50,54.51282051,ceh-16,WT(JR667)
V1,52,49,54.51282051,ceh-16,WT(JR667)
V1,50,48,54.51282051,ceh-16,WT(JR667)
V1,22,47,54.51282051,ceh-16,WT(JR667)
V1,49,43,54.51282051,ceh-16,WT(JR667)
V1,67,42,54.51282051,ceh-16,WT(JR667)
V1,16,37,54.51282051,ceh-16,WT(JR667)
V1,48,36,54.51282051,ceh-16,WT(JR667)
V1,21,34,54.51282051,ceh-16,WT(JR667)
V1,64,25,54.51282051,ceh-16,WT(JR667)
V1,66,24,54.51282051,ceh-16,WT(JR667)
V1,4,21,54.51282051,ceh-16,WT(JR667)
V1,17,19,54.51282051,ceh-16,WT(JR667)
V1,46,17,54.51282051,ceh-16,WT(JR667)
V1,2,16,54.51282051,ceh-16,WT(JR667)
V1,29,16,54.51282051,ceh-16,WT(JR667)
V1,32,16,54.51282051,ceh-16,WT(JR667)
V1,18,8,54.51282051,ceh-16,WT(JR667)
V1,42,6,54.51282051,ceh-16,WT(JR667)
V1,30,2,54.51282051,ceh-16,WT(JR667)
V3,33,134,57.94871795,ceh-16,WT(JR667)
V3,39,131,57.94871795,ceh-16,WT(JR667)
V3,13,108,57.94871795,ceh-16,WT(JR667)
V3,36,108,57.94871795,ceh-16,WT(JR667)
V3,20,105,57.94871795,ceh-16,WT(JR667)
V3,55,101,57.94871795,ceh-16,WT(JR667)
V3,37,99,57.94871795,ceh-16,WT(JR667)
V3,24,93,57.94871795,ceh-16,WT(JR667)
V3,40,93,57.94871795,ceh-16,WT(JR667)
V3,41,83,57.94871795,ceh-16,WT(JR667)
V3,58,78,57.94871795,ceh-16,WT(JR667)
V3,14,72,57.94871795,ceh-16,WT(JR667)
V3,26,68,57.94871795,ceh-16,WT(JR667)
V3,54,65,57.94871795,ceh-16,WT(JR667)
V3,67,65,57.94871795,ceh-16,WT(JR667)
V3,50,58,57.94871795,ceh-16,WT(JR667)
V3,9,57,57.94871795,ceh-16,WT(JR667)
V3,43,57,57.94871795,ceh-16,WT(JR667)
V3,46,55,57.94871795,ceh-16,WT(JR667)
V3,22,46,57.94871795,ceh-16,WT(JR667)
V3,48,46,57.94871795,ceh-16,WT(JR667)
V3,4,45,57.94871795,ceh-16,WT(JR667)
V3,21,44,57.94871795,ceh-16,WT(JR667)
V3,52,44,57.94871795,ceh-16,WT(JR667)
V3,49,43,57.94871795,ceh-16,WT(JR667)
V3,64,41,57.94871795,ceh-16,WT(JR667)
V3,45,39,57.94871795,ceh-16,WT(JR667)
V3,38,38,57.94871795,ceh-16,WT(JR667)
V3,63,38,57.94871795,ceh-16,WT(JR667)
V3,66,33,57.94871795,ceh-16,WT(JR667)
V3,16,31,57.94871795,ceh-16,WT(JR667)
V3,32,29,57.94871795,ceh-16,WT(JR667)
V3,25,27,57.94871795,ceh-16,WT(JR667)
V3,29,22,57.94871795,ceh-16,WT(JR667)
V3,2,16,57.94871795,ceh-16,WT(JR667)
V3,30,15,57.94871795,ceh-16,WT(JR667)
V3,42,15,57.94871795,ceh-16,WT(JR667)
V3,17,12,57.94871795,ceh-16,WT(JR667)
V3,18,6,57.94871795,ceh-16,WT(JR667)
V2,33,122,57.76923077,ceh-16,WT(JR667)
V2,26,118,57.76923077,ceh-16,WT(JR667)
V2,24,107,57.76923077,ceh-16,WT(JR667)
V2,39,105,57.76923077,ceh-16,WT(JR667)
V2,41,97,57.76923077,ceh-16,WT(JR667)
V2,20,90,57.76923077,ceh-16,WT(JR667)
V2,55,89,57.76923077,ceh-16,WT(JR667)
V2,58,85,57.76923077,ceh-16,WT(JR667)
V2,14,84,57.76923077,ceh-16,WT(JR667)
V2,37,84,57.76923077,ceh-16,WT(JR667)
V2,13,83,57.76923077,ceh-16,WT(JR667)
V2,67,83,57.76923077,ceh-16,WT(JR667)
V2,45,82,57.76923077,ceh-16,WT(JR667)
V2,54,78,57.76923077,ceh-16,WT(JR667)
V2,40,76,57.76923077,ceh-16,WT(JR667)
V2,36,74,57.76923077,ceh-16,WT(JR667)
V2,9,73,57.76923077,ceh-16,WT(JR667)
V2,38,63,57.76923077,ceh-16,WT(JR667)
V2,50,60,57.76923077,ceh-16,WT(JR667)
V2,4,56,57.76923077,ceh-16,WT(JR667)
V2,22,56,57.76923077,ceh-16,WT(JR667)
V2,46,48,57.76923077,ceh-16,WT(JR667)
V2,32,45,57.76923077,ceh-16,WT(JR667)
V2,49,41,57.76923077,ceh-16,WT(JR667)
V2,52,36,57.76923077,ceh-16,WT(JR667)
V2,25,35,57.76923077,ceh-16,WT(JR667)
V2,21,34,57.76923077,ceh-16,WT(JR667)
V2,43,34,57.76923077,ceh-16,WT(JR667)
V2,2,30,57.76923077,ceh-16,WT(JR667)
V2,63,30,57.76923077,ceh-16,WT(JR667)
V2,48,26,57.76923077,ceh-16,WT(JR667)
V2,64,26,57.76923077,ceh-16,WT(JR667)
V2,16,20,57.76923077,ceh-16,WT(JR667)
V2,66,20,57.76923077,ceh-16,WT(JR667)
V2,17,17,57.76923077,ceh-16,WT(JR667)
V2,18,17,57.76923077,ceh-16,WT(JR667)
V2,30,14,57.76923077,ceh-16,WT(JR667)
V2,42,14,57.76923077,ceh-16,WT(JR667)
V2,29,1,57.76923077,ceh-16,WT(JR667)
V6,33,117,43.25,ceh-16,WT(JR667)
V6,24,91,43.25,ceh-16,WT(JR667)
V6,13,79,43.25,ceh-16,WT(JR667)
V6,55,76,43.25,ceh-16,WT(JR667)
V6,41,67,43.25,ceh-16,WT(JR667)
V6,9,64,43.25,ceh-16,WT(JR667)
V6,22,51,43.25,ceh-16,WT(JR667)
V6,48,48,43.25,ceh-16,WT(JR667)
V6,38,46,43.25,ceh-16,WT(JR667)
V6,54,45,43.25,ceh-16,WT(JR667)
V6,37,43,43.25,ceh-16,WT(JR667)
V6,49,41,43.25,ceh-16,WT(JR667)
V6,45,35,43.25,ceh-16,WT(JR667)
V6,50,35,43.25,ceh-16,WT(JR667)
V6,4,34,43.25,ceh-16,WT(JR667)
V6,52,34,43.25,ceh-16,WT(JR667)
V6,46,33,43.25,ceh-16,WT(JR667)
V6,21,25,43.25,ceh-16,WT(JR667)
V6,64,20,43.25,ceh-16,WT(JR667)
V6,29,19,43.25,ceh-16,WT(JR667)
V6,2,11,43.25,ceh-16,WT(JR667)
V6,17,10,43.25,ceh-16,WT(JR667)
V6,42,8,43.25,ceh-16,WT(JR667)
V6,30,6,43.25,ceh-16,WT(JR667)
V4,33,109,55.47222222,ceh-16,WT(JR667)
V4,13,108,55.47222222,ceh-16,WT(JR667)
V4,39,106,55.47222222,ceh-16,WT(JR667)
V4,22,101,55.47222222,ceh-16,WT(JR667)
V4,55,101,55.47222222,ceh-16,WT(JR667)
V4,24,93,55.47222222,ceh-16,WT(JR667)
V4,58,88,55.47222222,ceh-16,WT(JR667)
V4,67,86,55.47222222,ceh-16,WT(JR667)
V4,36,84,55.47222222,ceh-16,WT(JR667)
V4,26,82,55.47222222,ceh-16,WT(JR667)
V4,46,81,55.47222222,ceh-16,WT(JR667)
V4,40,75,55.47222222,ceh-16,WT(JR667)
V4,9,74,55.47222222,ceh-16,WT(JR667)
V4,41,72,55.47222222,ceh-16,WT(JR667)
V4,38,71,55.47222222,ceh-16,WT(JR667)
V4,54,67,55.47222222,ceh-16,WT(JR667)
V4,50,61,55.47222222,ceh-16,WT(JR667)
V4,45,53,55.47222222,ceh-16,WT(JR667)
V4,43,49,55.47222222,ceh-16,WT(JR667)
V4,4,47,55.47222222,ceh-16,WT(JR667)
V4,2,43,55.47222222,ceh-16,WT(JR667)
V4,48,40,55.47222222,ceh-16,WT(JR667)
V4,52,40,55.47222222,ceh-16,WT(JR667)
V4,16,36,55.47222222,ceh-16,WT(JR667)
V4,49,36,55.47222222,ceh-16,WT(JR667)
V4,25,32,55.47222222,ceh-16,WT(JR667)
V4,17,30,55.47222222,ceh-16,WT(JR667)
V4,63,26,55.47222222,ceh-16,WT(JR667)
V4,21,23,55.47222222,ceh-16,WT(JR667)
V4,29,23,55.47222222,ceh-16,WT(JR667)
V4,64,20,55.47222222,ceh-16,WT(JR667)
V4,42,12,55.47222222,ceh-16,WT(JR667)
V4,30,11,55.47222222,ceh-16,WT(JR667)
V4,66,11,55.47222222,ceh-16,WT(JR667)
V4,18,6,55.47222222,ceh-16,WT(JR667)
V4,32,0,55.47222222,ceh-16,WT(JR667)
V5,37,94,46.58333333,ceh-16,WT(JR667)
V5,13,77,46.58333333,ceh-16,WT(JR667)
V5,39,77,46.58333333,ceh-16,WT(JR667)
V5,55,77,46.58333333,ceh-16,WT(JR667)
V5,45,62,46.58333333,ceh-16,WT(JR667)
V5,54,58,46.58333333,ceh-16,WT(JR667)
V5,4,56,46.58333333,ceh-16,WT(JR667)
V5,22,54,46.58333333,ceh-16,WT(JR667)
V5,9,50,46.58333333,ceh-16,WT(JR667)
V5,50,48,46.58333333,ceh-16,WT(JR667)
V5,16,46,46.58333333,ceh-16,WT(JR667)
V5,49,46,46.58333333,ceh-16,WT(JR667)
V5,38,43,46.58333333,ceh-16,WT(JR667)
V5,21,41,46.58333333,ceh-16,WT(JR667)
V5,46,41,46.58333333,ceh-16,WT(JR667)
V5,48,40,46.58333333,ceh-16,WT(JR667)
V5,64,40,46.58333333,ceh-16,WT(JR667)
V5,17,38,46.58333333,ceh-16,WT(JR667)
V5,43,35,46.58333333,ceh-16,WT(JR667)
V5,52,35,46.58333333,ceh-16,WT(JR667)
V5,2,19,46.58333333,ceh-16,WT(JR667)
V5,42,16,46.58333333,ceh-16,WT(JR667)
V5,29,13,46.58333333,ceh-16,WT(JR667)
V5,30,12,46.58333333,ceh-16,WT(JR667)
T,24,49,25.25,ceh-16,WT(JR667)
T,46,48,25.25,ceh-16,WT(JR667)
T,41,46,25.25,ceh-16,WT(JR667)
T,37,44,25.25,ceh-16,WT(JR667)
T,55,42,25.25,ceh-16,WT(JR667)
T,48,38,25.25,ceh-16,WT(JR667)
T,33,32,25.25,ceh-16,WT(JR667)
T,21,31,25.25,ceh-16,WT(JR667)
T,45,30,25.25,ceh-16,WT(JR667)
T,9,26,25.25,ceh-16,WT(JR667)
T,38,21,25.25,ceh-16,WT(JR667)
T,4,19,25.25,ceh-16,WT(JR667)
T,52,17,25.25,ceh-16,WT(JR667)
T,22,16,25.25,ceh-16,WT(JR667)
T,64,15,25.25,ceh-16,WT(JR667)
T,50,14,25.25,ceh-16,WT(JR667)
T,30,5,25.25,ceh-16,WT(JR667)
T,42,5,25.25,ceh-16,WT(JR667)
T,17,4,25.25,ceh-16,WT(JR667)
T,29,3,25.25,ceh-16,WT(JR667)
